SYMBOL,TOTAL_VOLUME,AVG_VOLUME,MAX_VOLUME,MIN_VOLUME,AVERAGE_OPEN_STOCK,AVERAGE_CLOSE_STOCK,VOLATILITY
CLX,977618422,970822.663357,8863677,248877,116.31090864,116.353753724,1.527873982
PNC,2401280231,2384588.114201,7995013,612841,98.786876862,98.817110228,1.526616683
VLO,6134769966,6092125.090367,44023669,1442920,60.588540417,60.612502483,1.522624429
DLTR,2710807436,2691963.690169,36322351,559851,74.128520357,74.139216485,1.520405859
LB,2545963836,2528265.974181,27796859,257165,69.548694141,69.565278054,1.512999801
KMB,1728973422,1716954.738828,6657462,526790,118.143599801,118.194677259,1.507455909
SYK,1374063189,1364511.607746,6550017,347507,107.24617428,107.2975571,1.507268123
PKG,977755584,970958.871897,22606474,177969,78.592234359,78.60724429,1.504822741
MON,3119279816,3097596.639523,25716946,622610,109.373144985,109.348540218,1.493986197
CB,1624666478,1613372.867925,17647214,440728,119.626559086,119.656454816,1.492654419
JBHT,935136053,928635.603774,19062317,151871,84.252288977,84.282361966,1.4853572
MA,4307114240,4277174.021847,23255509,932729,98.332900695,98.34299007,1.481315392
CTXS,1920314125,1906965.367428,18145012,410826,74.10274578,74.12949851,1.474656703
WBA,5383523133,5346100.429990,84138863,1366994,78.002462761,78.014856008,1.460661569
IT,466559608,463316.393247,19351878,99731,91.925228401,91.967437934,1.46045859
ACN,2502545230,2485149.185700,14821341,601818,105.121224429,105.222125124,1.448995432
MAA,620468810,616155.719960,24658164,135876,87.023649454,87.057328699,1.445150745
DE,2999629201,2978777.756703,23735606,740346,95.005198709,95.071340616,1.442789474
UTX,3963338912,3935788.393247,21828314,1008723,109.410213505,109.401569017,1.440328103
OXY,4655321545,4622960.819265,16706666,1319206,76.197259186,76.195526316,1.426555313
EMN,1361197358,1351735.211519,5854631,242272,77.3824429,77.394309831,1.420150149
DISH,2262339467,2246613.174777,41312796,347264,59.916772592,59.891981132,1.413934359
KORS,3333109482,3309939.902681,69237385,746133,56.995213505,56.964319762,1.40726574
TAP,1723546999,1711566.036743,20928859,293980,83.190383714,83.185422046,1.403758193
DVN,5558088482,5519452.315789,97177511,1170211,48.541295929,48.512328699,1.403055611
RHT,1593800297,1582721.248262,14673959,256446,76.084586892,76.107626614,1.402963456
HSY,1196422191,1188105.452830,19899432,291197,99.353252234,99.424766634,1.397625621
DOV,1443633537,1433598.348560,9031681,141419,76.170973188,76.204270109,1.393742006
MYL,6015619571,5973802.950348,50879247,871516,47.315571003,47.275888779,1.392798808
BHF,122667239,1048437.940171,11208105,3,59.496594828,59.547615385,1.390303448
HON,3016986326,2996014.226415,20446322,606522,110.665139027,110.685650447,1.386118371
DXC,385340473,2038838.481481,34496800,376949,83.977169312,84.023650794,1.38544127
ITW,1648011992,1636556.099305,6468241,338990,107.386315789,107.447959285,1.384667726
WYN,1152513327,1144501.814300,6686763,225679,81.612229295,81.635491559,1.384123039
DIS,7695567242,7642072.732870,61011209,2166034,99.038259186,99.026901688,1.381438828
KLAC,1539624088,1528921.636544,24477320,269918,74.614101291,74.644569017,1.381247766
AON,1231227581,1222668.898709,5807873,276060,104.88152433,104.923048659,1.379228997
CVS,5630442639,5591303.514399,50234379,1792989,87.697979047,87.695431976,1.371712214
ESRX,4346768768,4316552.897716,36851442,1013360,74.255416783,74.276913108,1.368926018
MCD,5268867130,5232241.439921,25286588,963233,116.29949851,116.359344588,1.366287984
GPC,745282994,740102.278054,6016283,175398,91.484021847,91.508589871,1.361963158
IQV,1053615636,1046291.594836,34428151,170906,70.51479146,70.550655412,1.361166336
HAS,1283724774,1274801.165839,12332733,294009,75.66173138,75.675758689,1.360072294
SNI,1238297625,1229689.796425,27853264,156001,70.846951341,70.830784508,1.356796922
CTAS,627721035,623357.532274,3653859,165368,95.445173784,95.470168818,1.355849851
KHC,2061398890,3277263.736089,30007660,777321,82.372062003,82.357869634,1.351576153
MAR,2776398935,2757099.240318,18178877,642661,77.876517776,77.953382324,1.343991559
DG,3660465422,3635020.280040,42449092,719742,72.294662363,72.309587885,1.341933962
VAR,774534161,769150.110228,8171111,141762,88.308455809,88.395074479,1.328722542
HRS,820286882,814584.788481,7253374,122747,88.725049553,88.769702085,1.325076365
EXR,961552282,954868.204568,22998449,235655,71.656355511,71.68285005,1.323125521
CAH,2305228012,2289203.586892,13666746,453883,77.058381331,77.073386296,1.317614101
CCI,2441134086,2424164.931480,27304794,535547,87.359884806,87.374880834,1.316552532
COF,3043876501,3022717.478649,16800046,506444,78.921355511,78.933237339,1.313281529
ABBV,8467697834,8408835.982125,122740856,1870435,63.296753724,63.338301887,1.308448759
MAC,1185997636,1177753.362463,12351613,215768,71.731713009,71.757785501,1.302987289
VRSN,1056872037,1049525.359484,10815306,199855,75.475367428,75.515124131,1.302153327
TRV,1842053412,1829248.671301,6498254,305358,109.093803376,109.134304866,1.296794638
JWN,2478402921,2461174.698113,29545055,350815,58.449466733,58.465054618,1.292683217
WRK,1067387485,1678282.209119,8386684,100,50.543669291,50.533191824,1.289565984
NTRS,1227554324,1219021.175770,5279941,272879,74.22303863,74.252318769,1.288255611
COL,1086631769,1079078.221450,16988777,158590,92.324960278,92.368679245,1.283422244
VIAB,4024398413,3996423.448858,33191205,886966,53.525739821,53.46958292,1.279767925
MPC,5743920741,5703992.791460,27575854,1372138,47.15245283,47.154563059,1.279569712
TWX,5306008162,5269124.291956,69744146,1136337,81.791140914,81.815950844,1.278648262
JNJ,7349264113,7298176.874876,25835156,2353779,110.935451837,110.964597815,1.278329692
LLY,4530934211,4499438.143992,53975853,817624,74.718676663,74.75163853,1.277004767
STT,2390522721,2373905.383317,7469795,518599,74.109020854,74.145143992,1.276561172
KMX,2159264471,2144254.688183,20302038,455528,58.094682224,58.115590864,1.265730884
FL,2496557571,2479203.148957,36216618,546613,57.955526316,57.958927507,1.263362562
AIZ,530251897,526565.935452,3033227,104852,79.933763654,79.978838133,1.262420556
AKAM,2114510392,2099811.710030,21769246,353632,59.205186693,59.2210714,1.25899851
FISV,1076022128,1068542.331678,5165989,312293,92.279543198,92.373733863,1.258478252
DTE,1038946995,1031724.920556,3205672,181970,88.597775571,88.6408143,1.253071102
UPS,2943734445,2923271.544191,19275359,891718,104.760461768,104.781449851,1.251463158
ADP,2090465392,2075933.855015,29837591,488812,89.759304866,89.806082423,1.2498715
EL,1853521252,1840636.794439,11082486,347029,86.129080338,86.157328699,1.247185005
KSS,3605155300,3580094.637537,26849624,1050448,50.357681231,50.373093347,1.242585899
TROW,1548088092,1537326.804369,7648931,403775,77.624493545,77.621380338,1.239292354
AAL,9819781913,9751521.264151,137767165,1352400,42.420103078,42.424900298,1.23845859
STX,4537699451,4506156.356504,48458893,729689,44.747323635,44.740893744,1.237284508
NFX,3254587714,3231963.966236,34690268,589218,34.670139126,34.670163853,1.235966435
CF,4172027371,4143026.187686,25849258,873162,41.825493148,41.821898709,1.233054121
COP,7965189078,7909820.335650,49188160,2288899,55.689463754,55.673018868,1.228695333
OKE,2481050671,2463804.042701,42639866,481375,48.854324727,48.849061569,1.227339126
DGX,1339216723,1329907.371400,14985949,300925,77.154424032,77.196822244,1.225415392
XOM,12384861895,12298770.501490,44704931,3851283,87.036663357,87.049041708,1.21460149
PM,4554756355,4523094.692155,23609501,1201729,93.479359583,93.526385303,1.202310824
YUM,3247591043,3225015.931480,36795550,666705,76.382742999,76.402214499,1.199148361
NOV,4619068236,4586959.519364,29172973,659116,47.774970209,47.768490566,1.195847269
FMC,1235352687,1226765.329692,14122220,226713,60.340392254,60.317199603,1.194214002
NBL,4210976447,4181704.515392,20886865,900168,42.97183714,42.954975174,1.191066137
ADI,2539270151,2521618.819265,14962962,536315,63.261802383,63.260429494,1.190621549
ETR,1443566292,1433531.571003,4695492,235103,75.055243297,75.088291956,1.189577458
HAL,10957021992,10880856.000000,80357830,2506595,47.058663357,47.051896723,1.185717478
CBS,5665260574,5625879.418073,90000585,977372,57.162979146,57.133783515,1.184574181
CBOE,762269916,756971.118173,20233347,167967,69.310059583,69.36347567,1.184300794
PNR,1338511247,1329206.799404,7434445,173177,63.346077458,63.338788481,1.179467428
TGT,5879702170,5838830.357498,49491703,1097659,67.897740814,67.900337637,1.179198312
HSIC,1082757815,1075231.196624,31224066,213158,74.14556852,74.146295929,1.174566634
CERN,2163312996,2148275.070506,15699713,428891,60.893912612,60.916217478,1.167627905
NCLH,1646892788,1635444.675273,33545860,202370,46.635625621,46.639180735,1.16358143
MKC,738661408,733526.720953,5726519,171411,85.803545184,85.838738828,1.16191291
GPN,1382815608,1373203.185700,36730004,227914,62.698887786,62.729001986,1.156539821
DRI,1680503786,1668822.031778,10815960,278735,65.795188679,65.816146971,1.154427309
FLR,1496557581,1486154.499503,11166551,405565,55.767025819,55.764121152,1.149970506
HCN,2184232990,2169049.642502,16988953,462210,68.573013903,68.589409136,1.146442502
LOW,5561938383,5523275.454816,26364263,1607437,69.065318769,69.099285005,1.146008838
OMC,1690954077,1679199.679245,12280821,396156,76.647670308,76.652939424,1.144930983
PCAR,2030934916,2016817.195631,9657924,476404,61.696484608,61.711434955,1.142000894
ALLE,715333484,710360.957299,3922204,114249,64.273550149,64.294885799,1.141181529
HOG,2308081499,2292037.238332,31739422,311187,56.288843098,56.295590864,1.140104469
LNC,1927720887,1914320.642502,6966641,421581,55.793132969,55.80469712,1.140012016
CHRW,1605582918,1594421.964250,10238706,325519,69.182318769,69.229996028,1.139052929
ETN,2831537988,2811855.002979,11758400,618980,67.708128103,67.716703078,1.13694995
IR,2059153714,2044839.835154,8875737,379599,68.260397219,68.277735849,1.128693049
FLS,1326246970,1317027.775571,7255289,315765,53.511936445,53.502959285,1.123245283
BMY,7976743738,7921294.675273,86212615,1385063,59.368684211,59.374001986,1.118409136
RJF,773449960,768073.445879,23045057,201707,60.853997021,60.872353525,1.117204568
DAL,10509507583,10436452.416087,43300859,1841234,44.217506157,44.199647468,1.1167428
PEP,4452561532,4421610.260179,13366933,1044308,100.490777557,100.542383317,1.114527408
AXP,4860651190,4826863.147964,43783380,837313,79.055212612,79.050516385,1.112455015
TJX,3715825611,3689995.641509,17345374,885789,69.537795432,69.54225422,1.105214002
MDT,5982960579,5941370.982125,65446699,1453116,75.045520159,75.069404171,1.104443595
DPS,1379293196,1369705.259186,5419802,312631,80.629404171,80.678957299,1.103551539
DVA,1387060716,1377418.784508,9753885,253773,70.270765641,70.276792453,1.101085601
EQR,1900628392,1887416.476663,11465796,505606,68.06047567,68.072373386,1.099159384
VFC,2429414971,2412527.280040,15367911,513067,63.705933466,63.719771599,1.095502781
CMA,1986275338,1972468.061569,8281061,393454,53.196216485,53.211266137,1.094941112
VTR,2228482875,2212991.931480,11606348,598361,64.719647468,64.727467726,1.09346862
MCHP,2289696780,2273780.317776,30441149,371132,56.880173684,56.88939424,1.089706852
QCOM,11042126520,10965368.937438,94436001,2451309,63.279902979,63.291490566,1.083710228
V,9511808719,9445688.896723,50857784,2188783,75.433344786,75.435337637,1.081306852
NUE,2477932411,2460707.458788,9225931,421158,51.001737835,50.998053625,1.081190367
DUK,3145466472,3123601.263158,12096999,936345,77.861688679,77.891072493,1.075545184
VRSK,899541700,893288.679245,26526012,204996,74.486852036,74.515382324,1.074043595
MSI,1488414164,1478067.690169,11481100,234979,71.9832572,71.998053625,1.072433962
REG,735699022,730584.927507,27410591,162344,64.932323734,64.956633565,1.066674876
CTSH,4255705972,4226123.110228,53397247,1059277,58.622959384,58.633366435,1.059723138
JPM,15789762063,15680002.048659,56192320,3680043,69.865559881,69.886722939,1.053775372
TEL,1797517386,1785022.230387,7548273,434483,66.911549156,66.929116187,1.040909136
D,2570200952,2552334.609732,10798596,738430,73.099379345,73.130496524,1.040766733
AVY,774707697,769322.439921,4154402,193485,67.602080338,67.634438928,1.035478947
PNW,825937933,820196.557100,3864917,148295,69.725188679,69.774200596,1.033882026
DHR,2945203551,2960003.568844,18878952,0,84.301363948,84.319748744,1.032157847
EIX,2071165984,2056768.603774,17109960,439989,66.510118173,66.545317776,1.03105422
BWA,1960989701,1947358.193644,8568855,412107,47.865898709,47.865233366,1.027849255
WMB,8419962788,8361432.758689,105692958,1976462,36.937720953,36.926762661,1.027189474
M,6654090026,6607835.179742,60720709,1837812,45.272736743,45.247224429,1.022422939
LEN,2966969173,2946344.759682,16557657,714997,45.971392453,45.963733069,1.020379245
TSN,3760097527,3733959.808342,32322769,783219,53.572159881,53.607457795,1.019914896
SCG,1029959589,1022799.989076,8213926,219807,59.491708044,59.495203575,1.004302781
TXN,5713118440,5673404.607746,33230047,1288450,62.134741311,62.170923535,1.002326415
RMD,942750982,936197.598808,30299252,153592,61.102527309,61.186146971,1.000694638
PYPL,5502847729,8748565.546900,52286509,2133437,44.771875994,44.751144674,0.9979567568
LUV,6922848694,6874725.614697,43824879,1374039,42.00484717,42.017070407,0.9923816286
JEC,1067170945,1059752.676266,3938736,250376,50.557835154,50.566911619,0.9834389275
ED,2011089492,1997109.723932,9233607,482671,68.911156902,68.958838133,0.9763576961
FBHS,1348735006,1339359.489573,31805569,263865,52.308093347,52.339260179,0.9722286991
WMT,8514503896,8455316.679245,80898117,2483121,74.551961271,74.577666336,0.9665855015
DWDP,634614411,7645956.759036,32382148,2636225,70.548493976,70.471084337,0.9612385542
ROST,3013286732,2992340.349553,14140321,597263,52.708932473,52.716484608,0.9528301887
XRAY,1272139832,1263296.754717,19284507,241202,55.874468719,55.904935452,0.9492227408
DFS,3000293930,2979437.864945,19602148,667960,59.654637537,59.670933466,0.9480426018
FTI,3288252858,3265395.092354,52984015,588383,37.34414002,37.333992056,0.9469092354
FIS,1587958215,1576919.776564,12346474,366576,69.868435849,69.913152929,0.9431027805
BBY,5415300131,5377656.535253,85222918,1374672,38.467701092,38.497527309,0.9420736842
HLT,647007938,2588031.752000,33236368,470449,64.49874,64.51728,0.9407264
GRMN,1347864084,1338494.621648,10777173,285468,48.738519861,48.745623138,0.9403462761
C,19621608325,19485211.842105,112601033,4671254,53.872313903,53.877418073,0.9399980139
K,2107771401,2093119.564052,11598383,374751,68.87683714,68.90152433,0.9393399206
NDAQ,1062502250,1055116.434955,5836374,218033,57.454051639,57.490491559,0.9354510427
AWK,970367611,963622.255214,33567097,198417,63.735148957,63.776722939,0.9311691162
XLNX,3071482550,3050131.628600,33031356,426684,50.977089374,50.996469712,0.9311034757
PG,9134760106,9071261.277061,123735748,2196665,83.718354916,83.727696127,0.9241888779
BHGE,486956106,3864731.000000,11606444,1193191,34.005,33.962301587,0.9190174603
FTV,570590047,1509497.478836,7313010,0,60.18969496,60.196507937,0.915762069
MET,6298299763,6254518.136048,25464015,1303105,50.370124131,50.365536246,0.912845283
PFG,1358123774,1348682.993049,4813235,349999,52.56397716,52.575650447,0.9117858987
EMR,3901698069,3874576.036743,20572890,802124,57.925119166,57.929796425,0.9102055611
ARNC,6928125728,6879965.966236,42940452,1404910,32.743460775,32.741847071,0.8990101291
DISCA,3429169268,3405331.944389,25688737,647352,36.187906058,36.170834161,0.8924552135
O,1921986059,1931644.280402,39928586,0,52.838824773,52.851261005,0.8806402414
MRK,10478404482,10405565.523337,72875999,2980053,58.390992056,58.37550149,0.8789287984
MNST,3522868264,3498379.606753,59074884,573603,42.883269116,42.893140417,0.8775927507
AEP,2670773758,2652208.299901,7074577,732613,60.895561072,60.934776564,0.8759323734
RHI,1083398569,1075867.496524,10061385,210076,48.072303873,48.0991857,0.8725559086
UAA,5784957990,5744744.776564,84355266,1499358,32.50294856,32.476261172,0.8712771599
FAST,2587506618,2569519.978153,18096035,538363,44.625590864,44.631549156,0.8633724926
PCG,3100248613,3078697.728898,52389147,592163,55.582284012,55.595972294,0.8626754717
XRX,2348781106,2332453.928500,16111889,411994,41.120526316,41.113535253,0.8588103277
NKE,8658897144,8598706.200596,57319300,2441210,51.864262661,51.874766137,0.8539319762
AIG,7439241585,7387528.882820,38234945,1744091,57.826421152,57.8391857,0.8530214499
AFL,2014467551,2000464.300894,5794050,594374,67.21194141,67.243282026,0.8523956306
ICE,3620058033,3598467.229622,18126220,568820,50.881877734,50.887019881,0.8465626243
IP,3050721248,3029514.645482,19274926,566999,48.738431976,48.741082423,0.8464726912
MSFT,30927601441,30712613.148957,202526536,7425603,54.052420457,54.084863456,0.8376492552
CCL,4027009628,3999016.512413,16257472,1069720,49.829121152,49.822303873,0.836399007
PKI,756519723,751260.896723,3565875,159429,52.431072493,52.463733863,0.8357304866
CL,3333886176,3310711.197617,18843895,882144,68.859434062,68.882542205,0.8336752731
ALL,2298931853,2282951.194638,13214958,567802,70.147604767,70.19203575,0.8321466733
ZTS,3509433390,3485038.123138,29137996,710499,47.248022542,47.26828004,0.8315863952
SEE,2006305993,1992359.476663,11341075,312565,43.405451837,43.405084409,0.8313490566
NEM,7619395836,7566430.820258,38742225,1705593,28.245531281,28.244101291,0.8256552135
TPR,4175875018,4146847.088381,38637887,795149,38.866668322,38.860566038,0.8256341609
MOS,4349394219,4319160.098312,21094807,1052204,35.150069513,35.126613704,0.8232276068
WEC,1856101608,1843199.213505,10635560,486449,54.375764647,54.415287984,0.8218739821
DISCK,1976475720,1962736.564052,16261185,127864,34.636564052,34.620253227,0.8191215492
SNPS,842088174,836234.532274,30294553,217320,54.073247269,54.107303972,0.8156866931
BAX,4328509485,4298420.541212,76058804,692491,56.786092354,56.79632572,0.8153376365
APH,1224570946,1216058.536246,5048328,259470,59.964982622,60.001454816,0.8118095333
ATVI,7698384604,7644870.510427,133082393,1369310,35.57377855,35.580143992,0.8103769613
CINF,594005261,589876.128103,2942115,188101,61.525655412,61.532979146,0.8091298908
SBUX,9267137274,9202718.246276,53454789,2215418,51.209525323,51.214681728,0.8047788481
A,2207275088,2191931.567031,17862776,532863,49.085571003,49.097725919,0.8044925521
STI,3633772796,3608513.203575,10959173,833130,45.131916584,45.137219464,0.8039481629
COG,6445159869,6400357.367428,76176600,995518,27.234130983,27.226976167,0.8005156902
TXT,1801511109,1788988.191658,16894753,347645,42.57101291,42.589404171,0.7972820258
TMK,602899546,598708.585899,2997672,138267,62.417444091,62.44744141,0.7939479643
BEN,2600494854,2582417.928500,14048195,381359,45.146757696,45.137616683,0.7910390268
CPB,1752105817,1739926.332671,12508637,279098,51.351203178,51.381946375,0.785011718
AME,1345475233,1336122.376365,11642657,235472,53.475953327,53.499513406,0.7849983118
PDCO,1043669870,1036414.965243,14685248,171031,43.880139027,43.892413108,0.7848145978
EXPD,1370090488,1360566.522344,9505045,337873,48.97182721,49.016228401,0.7842829196
MO,6817089727,6769701.814300,54403894,1767912,57.361300993,57.396832175,0.7830015889
ES,1583395622,1588160.102307,7597457,592968,52.999884538,53.033405216,0.7768991976
TSS,1273081277,1264231.655412,7506248,197192,46.428803376,46.467388282,0.7749883813
MU,28158553783,27962814.084409,149010345,4672964,24.469615889,24.445753823,0.7675983118
ADM,3557025639,3532299.542205,12373731,722686,43.840029791,43.850695134,0.7646273088
NLSN,2534213734,2516597.551142,21052062,489557,45.259860973,45.279046673,0.758582721
NWL,3453211682,3429207.231380,47531743,401660,41.341539225,41.34265144,0.7579366435
BF.B,1065155360,1057751.102284,16152050,284473,48.1158714,48.145754717,0.7577085402
GIS,3329649589,3306504.060576,19747255,950180,56.964502483,56.998808342,0.7516637537
WFC,18308875857,18181604.624628,100988797,4296992,52.254076365,52.264374379,0.7501092354
PLD,2719841487,2700934.942403,8871880,451327,46.996072493,47.015705065,0.7485849057
NTAP,3510458797,3486056.402185,25743849,664508,36.082100298,36.110075472,0.7402793446
EBAY,10981199943,10904865.881827,77254512,1761434,39.900285005,39.918040715,0.7396555114
GPS,5457310441,5419374.817279,33027832,745399,31.495467627,31.49774578,0.7323915591
PAYX,2153765054,2138793.499503,7620108,538856,51.973857398,52.001131082,0.7285738828
MMC,2020092637,2006050.285005,7379685,445413,62.063555114,62.098515392,0.7276212512
ZION,2777385554,2758079.000993,15681067,688600,32.670059285,32.674543198,0.7206701092
AEE,1633961236,1622603.014896,7029263,345780,46.936385303,46.972393247,0.7162196624
MS,11381726377,11302608.120159,49311895,2495105,36.122905561,36.123301887,0.7113538232
XYL,1167328561,1159214.062562,5043272,195883,43.499493644,43.515228401,0.7083951341
UA,1422222942,3247084.342466,57001577,0,24.340949657,24.340684932,0.7072562929
LEG,961207151,954525.472691,4157674,206632,44.291007944,44.303505462,0.7019893744
CSX,8082138257,8025956.561072,98506114,1570745,35.158443992,35.194890765,0.7004870904
ETFC,3371661414,3348223.847071,21422683,612940,28.972986991,28.982373386,0.6965205561
SCHW,8070996399,8014892.153923,31760961,1269015,32.692601787,32.704597815,0.6955820258
GT,3471719119,3447586.016882,18004667,847020,29.50751718,29.513202483,0.6949916584
AOS,1229202177,1220657.573982,32488255,204257,39.135633069,39.156156902,0.6878614697
